任务,拆单名称,施工方式,施工情况,施工人数,工种,前置工序,工程量,工程量单位,是否加班,开始时间,结束时间,持续时长,实际工作天数,直接依赖任务,备注,选定施工方式,材料价格,劳动力成本,总成本,层数,所属专业,构件
1层 - 柱、墙、梁、板钢筋制作,,人工制作,"标准层施工, 暑期施工",3.0,钢筋工,,25.61,吨,否,2025年9月1日 08:00,2025年9月3日 17:00,2天9小时,3天,无,,人工制作,115264.0,3465,118729.0,1,,柱
1层 - 柱测量放线,S1 结构,水准仪,"标准层施工, 暑期施工",2.0,测量员,,785.46,m2,否,2025年9月1日 08:00,2025年9月1日 10:00,2小时,1天,无,,水准仪,0.0,80,80.0,1,结构,柱
1层 - 剪力墙放线,S1 结构,水准仪,"标准层施工, 暑期施工",2.0,测量员,,785.46,m2,否,2025年9月1日 08:00,2025年9月1日 10:00,2小时,1天,无,,水准仪,0.0,80,80.0,1,结构,剪力墙
1层 - 柱钢筋绑扎,S2,人工,"标准层施工, 暑期施工",8.0,钢筋工,"1, 2",0.0,吨,否,2025年9月3日 17:00,2025年9月3日 17:00,0小时,0天,"柱、墙、梁、板钢筋制作, 柱测量放线",依赖2个任务,人工,0.0,0,0.0,1,结构,柱
1层 - 短肢剪力墙钢筋绑扎,S2,人工,"标准层施工, 暑期施工",8.0,钢筋工,"1, 3",8.28,吨,否,2025年9月3日 17:00,2025年9月4日 17:00,1天,1天,"柱、墙、梁、板钢筋制作, 剪力墙放线",依赖2个任务,人工,0.0,3360,3360.0,1,结构,剪力墙
1层 - 柱钢筋验收,,人工,"标准层施工, 暑期施工",,,"1, 2, 4",,,否,2025年9月3日 17:00,2025年9月4日 09:00,4小时,1天,柱钢筋绑扎,依赖1个任务,人工,0.0,0,0.0,1,,柱
1层 - 剪力墙钢筋验收,,人工,"标准层施工, 暑期施工",,,"1, 2, 5",,,否,2025年9月4日 17:00,2025年9月5日 09:00,4小时,1天,"柱测量放线, 短肢剪力墙钢筋绑扎",依赖2个任务,人工,0.0,0,0.0,1,,剪力墙
1层 - 柱模板拼装,S3,"木模板, 铝模板, 塑料模板, 大模板","标准层施工, 暑期施工",4.0,木工,"1, 2, 4, 6",0.0,m2,否,2025年9月4日 09:00,2025年9月4日 09:00,0小时,0天,柱钢筋验收,依赖1个任务,木模板,0.0,0,0.0,1,结构,柱
1层 - 剪力墙模板拼装,S3,"木模板, 铝模板, 塑料模板, 大模板","标准层施工, 暑期施工",4.0,木工,"1, 3, 5, 7",951.66,m2,否,2025年9月5日 09:00,2025年9月6日 17:00,1天8小时,2天,剪力墙钢筋验收,依赖1个任务,木模板,11394.0,3600,14994.0,1,结构,剪力墙
1层 - 墙模板验收,,人工,"标准层施工, 暑期施工",,,"1, 3, 5, 7, 9",,,否,2025年9月6日 17:00,2025年9月7日 09:00,4小时,1天,剪力墙模板拼装,依赖1个任务,人工,0.0,0,0.0,1,,板
1层 - 柱模板验收,,人工,"标准层施工, 暑期施工",,,"1, 2, 4, 6, 8",,,否,2025年9月4日 09:00,2025年9月4日 13:00,4小时,1天,柱模板拼装,依赖1个任务,人工,0.0,0,0.0,1,,柱
1层 - 短肢剪力墙混凝土浇筑,S4,"固定泵1个, 固定泵2个, 移动泵1个, 移动泵2个","标准层施工, 暑期施工",8.0,混凝土工,"1, 3, 5, 7, 9, 10",92.62,m3,否,2025年9月11日 08:00,2025年9月11日 13:00,5小时,1天,墙模板验收,依赖1个任务,固定泵1个,37390.7342,1040,38430.73,1,结构,剪力墙
1层 - 短肢剪力墙混凝土养护,S5,人工,"标准层施工, 暑期施工",2.0,不限,"1, 3, 5, 7, 9, 10, 12",,,否,2025年9月11日 13:00,2025年9月18日 13:00,7天,7天,短肢剪力墙混凝土浇筑,依赖1个任务,人工,0.0,2688,2688.0,1,结构,剪力墙
1层 - 柱混凝土浇筑,S4,"固定泵1个, 固定泵2个, 移动泵1个, 移动泵2个","标准层施工, 暑期施工",4.0,混凝土工,"1, 2, 4, 6, 8, 11",0.0,m3,否,2025年9月11日 08:00,2025年9月10日 20:00,0小时,0天,柱模板验收,依赖1个任务,固定泵1个,0.0,0,0.0,1,结构,柱
1层 - 柱混凝土养护,S5,人工,"标准层施工, 暑期施工",2.0,不限,"1, 2, 4, 6, 8, 11, 14",,,否,2025年9月11日 08:00,2025年9月17日 20:00,7天,7天,柱混凝土浇筑,依赖1个任务,人工,0.0,2688,2688.0,1,结构,柱
