日期,总施工人数,总劳动力成本,不限人数,安装工人数,抹灰工人数,木工人数,水电工人数,测量员人数,混凝土工人数,砌筑工人数,管道工人数,钢筋工人数,防水工人数,不限成本,安装工成本,抹灰工成本,木工成本,水电工成本,测量员成本,混凝土工成本,砌筑工成本,管道工成本,钢筋工成本,防水工成本,总施工实际人数,总劳动力实际成本,不限实际人数,安装工实际人数,抹灰工实际人数,木工实际人数,水电工实际人数,测量员实际人数,混凝土工实际人数,砌筑工实际人数,管道工实际人数,钢筋工实际人数,防水工实际人数,不限实际成本,安装工实际成本,抹灰工实际成本,木工实际成本,水电工实际成本,测量员实际成本,混凝土工实际成本,砌筑工实际成本,管道工实际成本,钢筋工实际成本,防水工实际成本
2025-09-01,7.0,1892.5,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,0.0,1732.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-02,19.0,3412.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3412.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-03,16.0,3480.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1800.0,0.0,0.0,0.0,0.0,0.0,1680.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-04,4.0,1800.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-05,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-07,16.0,2025.6,4.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,985.6,0.0,0.0,0.0,0.0,0.0,1040.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-08,4.0,985.6,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,985.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-09,4.0,985.6,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,985.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-10,10.0,4985.6,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,985.6,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-11,14.0,4985.6,4.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,985.6,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-12,30.0,10726.0,5.0,6.0,0.0,15.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,736.0,4000.0,0.0,4950.0,0.0,80.0,0.0,960.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-13,28.0,11339.923076923078,3.0,6.0,0.0,7.0,0.0,0.0,0.0,2.0,4.0,6.0,0.0,288.0,4000.0,0.0,2070.0,0.0,0.0,0.0,960.0,3076.923076923077,945.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-14,35.0,13015.923076923078,2.0,6.0,0.0,0.0,1.0,0.0,8.0,2.0,4.0,12.0,0.0,448.0,4000.0,0.0,0.0,240.0,0.0,1456.0,960.0,3076.923076923077,2835.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-15,14.0,8484.923076923078,2.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,448.0,4000.0,0.0,0.0,0.0,0.0,0.0,960.0,3076.923076923077,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-16,15.0,8604.923076923078,2.0,6.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,448.0,4000.0,0.0,0.0,120.0,0.0,0.0,960.0,3076.923076923077,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-17,27.0,13916.923076923078,4.0,6.0,12.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,576.0,4000.0,6144.0,0.0,120.0,0.0,0.0,0.0,3076.923076923077,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-18,30.0,15460.923076923078,2.0,6.0,18.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,448.0,4000.0,7936.0,0.0,0.0,0.0,0.0,0.0,3076.923076923077,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-19,28.0,14572.923076923078,2.0,6.0,12.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,448.0,4000.0,5248.0,1800.0,0.0,0.0,0.0,0.0,3076.923076923077,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-20,29.0,16760.637362637364,0.0,11.0,12.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,7750.0,5248.0,0.0,0.0,0.0,0.0,0.0,3076.923076923077,0.0,685.7142857142857,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-21,23.0,14968.637362637362,0.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,7750.0,3456.0,0.0,0.0,0.0,0.0,0.0,3076.923076923077,0.0,685.7142857142857,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-22,23.0,14968.637362637362,0.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,7750.0,3456.0,0.0,0.0,0.0,0.0,0.0,3076.923076923077,0.0,685.7142857142857,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-23,23.0,14968.637362637362,0.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,7750.0,3456.0,0.0,0.0,0.0,0.0,0.0,3076.923076923077,0.0,685.7142857142857,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-24,23.0,14968.637362637362,0.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,7750.0,3456.0,0.0,0.0,0.0,0.0,0.0,3076.923076923077,0.0,685.7142857142857,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-25,23.0,14968.637362637362,0.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,7750.0,3456.0,0.0,0.0,0.0,0.0,0.0,3076.923076923077,0.0,685.7142857142857,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-26,21.0,12531.714285714286,0.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,7750.0,3456.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1325.7142857142858,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-27,25.0,14894.0,0.0,11.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7750.0,6504.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,640.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-28,19.0,11438.0,0.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7750.0,3048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,640.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-29,19.0,11438.0,0.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7750.0,3048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,640.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-30,13.0,7438.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3750.0,3048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,640.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-01,13.0,7438.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3750.0,3048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,640.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-02,13.0,7438.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3750.0,3048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,640.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-03,13.0,7438.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3750.0,3048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,640.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-04,21.0,11393.809523809525,0.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3750.0,6257.142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1386.6666666666663,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-05,13.0,7705.809523809524,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3750.0,3209.1428571428573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,746.6666666666666,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-06,8.0,3955.809523809524,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3209.1428571428573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,746.6666666666666,,,,,,,,,,,,,,,,,,,,,,,,
