日期,总施工人数,总劳动力成本,不限人数,安装工人数,抹灰工人数,木工人数,水电工人数,测量员人数,混凝土工人数,砌筑工人数,管道工人数,钢筋工人数,防水工人数,不限成本,安装工成本,抹灰工成本,木工成本,水电工成本,测量员成本,混凝土工成本,砌筑工成本,管道工成本,钢筋工成本,防水工成本,总施工实际人数,总劳动力实际成本,不限实际人数,安装工实际人数,抹灰工实际人数,木工实际人数,水电工实际人数,测量员实际人数,混凝土工实际人数,砌筑工实际人数,管道工实际人数,钢筋工实际人数,防水工实际人数,不限实际成本,安装工实际成本,抹灰工实际成本,木工实际成本,水电工实际成本,测量员实际成本,混凝土工实际成本,砌筑工实际成本,管道工实际成本,钢筋工实际成本,防水工实际成本,总实际施工人数,总实际劳动力成本
2025-09-01,7.0,1892.5,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,0.0,1732.5,0.0,,,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,161.17,0.0,0.0,0.0,1755.51,0.0,7.0,1916.68
2025-09-02,19.0,3412.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3412.5,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3447.25,0.0,19.0,3447.25
2025-09-03,16.0,3480.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1800.0,0.0,0.0,0.0,0.0,0.0,1680.0,0.0,,,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1807.28,0.0,0.0,0.0,0.0,0.0,1790.39,0.0,17.0,3597.67
2025-09-04,4.0,1800.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1766.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1766.87
2025-09-05,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
2025-09-07,16.0,2025.6,4.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,985.6,0.0,0.0,0.0,0.0,0.0,1040.0,0.0,0.0,0.0,0.0,,,4.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1028.5,0.0,0.0,0.0,0.0,0.0,998.92,0.0,0.0,0.0,0.0,16.0,2027.42
2025-09-08,4.0,985.6,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,985.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1046.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1046.2
2025-09-09,4.0,985.6,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,985.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1083.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1083.91
2025-09-10,10.0,4985.6,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,985.6,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,945.46,3964.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4909.55
2025-09-11,14.0,4985.6,4.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,985.6,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967.45,4012.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4980.32
